Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABW,314,Aruba,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.87,5.51,2.08,6.69,7.43,5.51,13.79,-8.2,9.43,7.16,0.81,-7.46,1.57,3.8,-2.47,-3.2,0.8,1.23,-1.28,1.26,5.38
AFG,512,Afghanistan,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,21.7,14.3,2.1,27.1,3.9,-2.7,12.7,27,147,66.1,,,,,,,,,,,,,,,,10.46,3.31,8.41,2.48,8.65,12.36,11.81,8.8,-7.79,-4.25,2.07,4.44,1.47,-2.49,,,
ALB,914,Albania,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,10.8,25.1,27.8,4.7,15.4,6.8,11.9,4.5,27.2,25,5.7,7.1,3.87,1.75,3.62,2.76,0.9,0.24,1.33,-0.52,0.04,1,2.8,0.69,1.42,2.7,15.73
ARE,466,United Arab Emirates,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.17,0.45,-0.3,-2.42,-2.58,0.25,3.12,8.81,3.56,0.87,-3.09,-5.2,-3.67,-3.65,
ARG,213,Argentina,Inflation,Energy Consumer Price Inflation,,25.9,6.7,39.9,9.4,24.5,510.7,,164.5,148.9,121.4,147.4,109.5,346.7,377.1,1125.8,68.9,127.3,376.9,1644.7,2861.9,178,24.4,18.9,-4.1,6.8,3.6,1,-0.1,0.2,0,-1.3,4.4,9.5,0.8,4.2,-2.3,,,,,,,,,,,,52.76,49.28,19.95,26.23,45.89
ARM,911,Armenia,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,254.2,11.2,25.2,10,18.7,1,-0.2,0.1,2.2,1.6,2.1,1.5,-1.2,7.5,,,,,,1.89,38.98,-23.88,-4.64,0.18,0.48,0.89,1.28,6.07
AUS,193,Australia,Inflation,Energy Consumer Price Inflation,-0.2,2.5,3.6,2.8,15.23,19.13,16.06,11.41,7.43,6.67,8.72,10.59,11.52,8.17,7.47,7.81,8.11,7.26,9.29,14.27,10.47,-1.21,-6.06,-1.21,0.68,10.09,0.53,-8.18,-2.26,3.26,6.76,4.85,3.25,4.29,4.01,3.82,3.34,4.08,6.24,5.43,5.49,4.43,3.94,4.67,3.04,2.54,1.68,2.89,2.35,-1.21,-0.12,10.93,16.93
AUT,122,Austria,Inflation,Energy Consumer Price Inflation,6.8,6.7,4,5.9,15.4,15.4,5.8,2.93,2.4,6.7,19.7,19.7,7.4,-1.4,7.5,4,-7.2,-5.3,-2.2,-0.9,2.8,2,0.3,0.7,0.3,1,5.3,3.2,1.64,1.31,3.1,3.12,0.85,1.34,3.56,5.43,4.28,4.63,2.71,1.82,2.58,3.31,3.23,2.39,1.59,1.19,0.83,1.73,2.28,0.9,2.4,12.25,40.14
AZE,912,Azerbaijan,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,24.8,312.7,1059.1,1076.3,422.6,214.4,28.6,1,4.6,-0.1,0,0,9.7,74.5,13.9,99.6,0.3,16,,,,,0.51,-1.62,7.26,19.56,4.41,-0.15,1.52,15.68,14.85
BDI,618,Burundi,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.43,16.16,32.24,3.37,3.9,4.04,10.29,8.12,10.81,15.93,11.83,9.76,6.12,31.81,6.37,6.96,3.69,0.97,7.41,10.83,7.41,5.06,7.82,10.69
BEL,124,Belgium,Inflation,Energy Consumer Price Inflation,4.9,4.9,1.8,2.3,30,15.5,4.3,4.5,7.22,5.99,7.58,10.21,8.13,8.99,7.29,4.94,3.75,4.27,3.65,3.71,3.21,3.01,5.88,5.27,4.55,2.88,2.48,1.69,1.16,1.73,5.57,2.82,0.59,1.08,3.14,5.32,4.67,1.48,11.58,-3.91,3.39,8.06,3.73,-0.61,-1.41,0.4,2.14,3.74,3.04,0.87,-1.82,12.33,54.95
BEN,638,Benin,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.82,4.61,-0.86,7.17,3.83,3.35,5.23,1.45,7.56,7,-0.38,4.88,2.69,2.19,2.06,1.65,-0.51,0.97,-0.11,-0.77,1.06,3.05,-1.43,2.88,-1.93,0.94
BFA,748,Burkina Faso,Inflation,Energy Consumer Price Inflation,0,0,0,0,0,4.4,8.5,9,0,55,24.7,2.7,,-0.2,-6,11.8,2.6,-12.8,2.1,3.2,-1.7,-0.1,1.2,-7.6,9.4,6.8,0.3,5.5,0.22,2.19,0.65,-0.84,5.78,4.9,0.83,0.21,4.7,-1.33,12.06,10.73,2.96,3.82,4.11,2.79,2.84,3.05,0.66,-0.35,-0.72,1.4,-1.48,1.99,3.31
BGD,513,Bangladesh,Inflation,Energy Consumer Price Inflation,61,8.4,46,33.6,43.5,18.7,8,3,2.1,20.9,22.3,38,22.1,10.3,3.1,10.3,2.7,1.7,9.1,6.5,20.8,31,2.7,1.6,-0.7,-3.6,3.8,1.7,,,,,,,,,,,3.53,3.19,4.62,3.83,11.19,5.09,6.24,3.31,9.19,4.24,2.02,5.13,6.66,1.08,4.28
