Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABW,314,Aruba,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,2.63,3.33,3.75,5.18,13.67,11.16,4.62,-2.29,4.29,2.66,0.18,2.15,2.17,-0.17,0.66,7.45,12.82,10.99,,
AFG,512,Afghanistan,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,25.4,23.6,16.9,18.3,10.7,-1.8,24.2,22.4,68.4,78.3,,,,,,,,,,,,,,,,6.26,12.34,41.07,-13.35,-0.28,10.67,4.73,7.57,7.74,-0.84,5.67,6.94,-1.05,3.79,5.83,,
AGO,614,Angola,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.36,17.25,14.11,18.5,18.14,17.42,14.95,12.77,10.35,7.03,9.3,21.24,40.99,22.35,17.71,25.24,23.9,24.7
ALB,914,Albania,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,3.5,111.2,121.1,86.9,14.6,6.9,15.8,36.2,21.3,-0.1,-2.1,3.7,6.3,4.3,-0.1,-0.5,1,2.99,5.23,4.91,4.81,4.75,2.34,4.24,2.2,4.32,3.25,3.91,2.67,2.91,3.61,3.9,11.42
ARE,466,United Arab Emirates,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,0.79,4.45,5.86,5.24,2.69,2.17,1.24,1.01,1.2,3.54,-1.39,3.7,0,
ARG,213,Argentina,Inflation,Food Consumer Price Inflation,16.5,16.5,41.7,63.1,55.2,15.1,187.7,458.6,163.2,163.2,168.7,95.1,99.2,178.4,339,638.9,624.1,98.1,132.8,332.9,3086.5,2129.2,161.1,30.2,10.3,1.4,2.8,-0.5,-0.7,1.7,-3.7,-2.6,-1.9,34.6,19.2,5,11,12.1,11.2,6.8,2.8,14.4,8.7,,,,49.43,20.36,32.74,58.34,46.97,49.85,71.06
ARM,911,Armenia,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,4247.8,190.5,14.9,8.4,6.2,-5.6,-5.9,4.7,2.2,6.9,10,0.8,4.1,6.7,11.1,-0.9,9.4,12.3,1.99,5.81,0.51,27.85,-22.03,3.99,2.34,1.87,0.27,11.21,13.31
ATG,311,Antigua and Barbuda,Inflation,Food Consumer Price Inflation,8,10.1,10.1,20.6,31.3,16.5,10.1,12.8,6.2,14.4,,,3.6,2,5.7,2.2,-1.8,6.5,5.8,7.7,6.2,6.3,,,12.3,2.2,3.7,-1.1,1.4,3.1,1.8,3.6,1.4,-2.7,4.4,2.5,1.1,4.9,5.2,7.4,,,,,,,,,,1.51,2.73,1.19,7.65
AUS,193,Australia,Inflation,Food Consumer Price Inflation,3.62,3.9,3.91,15.36,14.75,7.94,12.08,11.41,9.82,13.79,12.57,9.47,7.56,10.16,5.46,6.2,8.92,5.42,7.89,8.81,4.43,3.36,1.37,2.37,1.18,4,2.76,2.61,2.66,3.35,2.43,6.63,3.57,3.65,2.34,2.38,7.79,2.33,4.67,3.73,1.55,4.83,-1.63,0.8,2.54,0.92,0.82,0.71,0.97,4.48,9.28,7.91,7.03
AUT,122,Austria,Inflation,Food Consumer Price Inflation,4.42,3.21,5.32,7.19,8.14,6.05,5.31,5.59,2.93,2.48,4.5,5.89,4.23,2.13,5.44,2,1.99,0.24,0.12,0.78,2.82,4.08,3.71,2.27,1.38,-1.72,0.13,1.53,1.93,-0.63,0.65,3.64,1.34,1.79,1.92,1.24,1.88,4.21,6.29,0.2,0.48,4.24,3.19,3.47,1.94,0.83,0.73,2.37,1.52,1.02,2.33,0.78,10.23
